[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
20 26 0 1 4 0 100 3.984 5.440 
26 32 0 1 4 0 100 4.629 6.075 
32 40 0 1 4 0 100 4.231 6.782 
40 51 0 1 4 0 100 4.344 7.758 
51 64 0 1 4 0 100 4.363 8.526 
64 80 0 1 4 0 100 4.317 9.411 
80 101 0 1 4 0 100 4.005 10.055 
101 127 0 1 4 0 100 3.769 10.836 
127 159 0 1 4 0 100 3.847 11.742 
159 200 0 1 4 0 100 3.801 12.491 
200 252 0 1 4 0 100 3.823 13.269 
252 317 0 1 4 0 100 3.624 13.923 
317 399 0 1 4 0 100 3.582 14.556 
399 502 0 1 4 0 100 3.656 15.154 
502 632 0 1 4 0 100 3.826 15.657 
632 795 0 1 4 0 100 3.759 15.633 
795 1000 0 1 4 0 100 4.247 15.343 
1000 3500 0 1 4 0 100 4.675 14.862 
20 26 1 2 4 0 100 3.979 5.778 
26 32 1 2 4 0 100 4.462 6.592 
32 40 1 2 4 0 100 4.637 7.362 
40 51 1 2 4 0 100 4.690 8.136 
51 64 1 2 4 0 100 4.515 8.971 
64 80 1 2 4 0 100 4.530 9.811 
80 101 1 2 4 0 100 4.357 10.596 
101 127 1 2 4 0 100 4.220 11.402 
127 159 1 2 4 0 100 4.052 12.201 
159 200 1 2 4 0 100 3.977 13.055 
200 252 1 2 4 0 100 3.812 13.673 
252 317 1 2 4 0 100 3.745 14.534 
317 399 1 2 4 0 100 3.797 15.246 
399 502 1 2 4 0 100 3.813 15.997 
502 632 1 2 4 0 100 3.900 16.347 
632 795 1 2 4 0 100 4.014 16.616 
795 1000 1 2 4 0 100 4.146 16.343 
1000 3500 1 2 4 0 100 4.372 15.547 
20 26 2 3 4 0 100 4.511 6.112 
26 32 2 3 4 0 100 4.839 6.935 
32 40 2 3 4 0 100 4.854 7.636 
40 51 2 3 4 0 100 4.920 8.502 
51 64 2 3 4 0 100 4.780 9.416 
64 80 2 3 4 0 100 4.783 10.209 
80 101 2 3 4 0 100 4.515 11.021 
101 127 2 3 4 0 100 4.310 11.836 
127 159 2 3 4 0 100 4.214 12.639 
159 200 2 3 4 0 100 4.016 13.432 
200 252 2 3 4 0 100 3.967 14.132 
252 317 2 3 4 0 100 3.926 15.012 
317 399 2 3 4 0 100 3.918 15.701 
399 502 2 3 4 0 100 3.929 16.447 
502 632 2 3 4 0 100 4.063 16.949 
632 795 2 3 4 0 100 4.112 17.052 
795 1000 2 3 4 0 100 4.300 16.714 
1000 3500 2 3 4 0 100 4.795 16.037 
20 26 3 4 4 0 100 4.758 6.473 
26 32 3 4 4 0 100 4.932 7.242 
32 40 3 4 4 0 100 5.147 8.021 
40 51 3 4 4 0 100 5.079 8.856 
51 64 3 4 4 0 100 4.907 9.735 
64 80 3 4 4 0 100 4.825 10.599 
80 101 3 4 4 0 100 4.688 11.360 
101 127 3 4 4 0 100 4.511 12.216 
127 159 3 4 4 0 100 4.403 12.978 
159 200 3 4 4 0 100 4.219 13.849 
200 252 3 4 4 0 100 4.119 14.544 
252 317 3 4 4 0 100 4.108 15.368 
317 399 3 4 4 0 100 4.058 16.085 
399 502 3 4 4 0 100 4.096 16.842 
502 632 3 4 4 0 100 4.178 17.140 
632 795 3 4 4 0 100 4.245 17.294 
795 1000 3 4 4 0 100 4.488 17.055 
1000 3500 3 4 4 0 100 4.816 16.408 
20 26 4 5 4 0 100 4.980 6.880 
26 32 4 5 4 0 100 5.197 7.608 
32 40 4 5 4 0 100 5.179 8.336 
40 51 4 5 4 0 100 5.118 9.314 
51 64 4 5 4 0 100 5.091 10.080 
64 80 4 5 4 0 100 4.904 10.902 
80 101 4 5 4 0 100 4.807 11.735 
101 127 4 5 4 0 100 4.620 12.502 
127 159 4 5 4 0 100 4.461 13.277 
159 200 4 5 4 0 100 4.312 14.144 
200 252 4 5 4 0 100 4.246 14.910 
252 317 4 5 4 0 100 4.206 15.714 
317 399 4 5 4 0 100 4.220 16.432 
399 502 4 5 4 0 100 4.223 17.098 
502 632 4 5 4 0 100 4.284 17.622 
632 795 4 5 4 0 100 4.387 17.798 
795 1000 4 5 4 0 100 4.530 17.403 
1000 3500 4 5 4 0 100 5.009 16.630 
20 26 5 6 4 0 100 5.131 7.212 
26 32 5 6 4 0 100 5.262 7.983 
32 40 5 6 4 0 100 5.466 8.712 
40 51 5 6 4 0 100 5.417 9.605 
51 64 5 6 4 0 100 5.390 10.361 
64 80 5 6 4 0 100 5.037 11.227 
80 101 5 6 4 0 100 4.873 12.072 
101 127 5 6 4 0 100 4.729 12.864 
127 159 5 6 4 0 100 4.629 13.633 
159 200 5 6 4 0 100 4.452 14.471 
200 252 5 6 4 0 100 4.349 15.184 
252 317 5 6 4 0 100 4.293 16.079 
317 399 5 6 4 0 100 4.321 16.724 
399 502 5 6 4 0 100 4.341 17.467 
502 632 5 6 4 0 100 4.439 17.949 
632 795 5 6 4 0 100 4.579 17.992 
795 1000 5 6 4 0 100 4.787 17.813 
1000 3500 5 6 4 0 100 5.132 16.745 
20 26 6 7 4 0 100 5.312 7.536 
26 32 6 7 4 0 100 5.553 8.272 
32 40 6 7 4 0 100 5.587 8.984 
40 51 6 7 4 0 100 5.665 9.923 
51 64 6 7 4 0 100 5.424 10.714 
64 80 6 7 4 0 100 5.210 11.526 
80 101 6 7 4 0 100 5.043 12.369 
101 127 6 7 4 0 100 4.880 13.199 
127 159 6 7 4 0 100 4.633 13.908 
159 200 6 7 4 0 100 4.596 14.776 
200 252 6 7 4 0 100 4.443 15.580 
252 317 6 7 4 0 100 4.456 16.433 
317 399 6 7 4 0 100 4.488 17.100 
399 502 6 7 4 0 100 4.508 17.843 
502 632 6 7 4 0 100 4.575 18.289 
632 795 6 7 4 0 100 4.672 18.257 
795 1000 6 7 4 0 100 4.933 17.960 
1000 3500 6 7 4 0 100 5.288 17.272 
20 26 7 8 4 0 100 5.504 7.847 
26 32 7 8 4 0 100 5.701 8.670 
32 40 7 8 4 0 100 5.730 9.390 
40 51 7 8 4 0 100 5.723 10.221 
51 64 7 8 4 0 100 5.597 11.050 
64 80 7 8 4 0 100 5.410 11.855 
80 101 7 8 4 0 100 5.201 12.628 
101 127 7 8 4 0 100 5.032 13.465 
127 159 7 8 4 0 100 4.865 14.259 
159 200 7 8 4 0 100 4.696 15.055 
200 252 7 8 4 0 100 4.643 15.822 
252 317 7 8 4 0 100 4.606 16.694 
317 399 7 8 4 0 100 4.568 17.360 
399 502 7 8 4 0 100 4.646 18.070 
502 632 7 8 4 0 100 4.783 18.562 
632 795 7 8 4 0 100 4.821 18.754 
795 1000 7 8 4 0 100 5.133 18.248 
1000 3500 7 8 4 0 100 5.484 17.453 
20 26 8 9 4 0 100 5.793 8.210 
26 32 8 9 4 0 100 5.925 8.993 
32 40 8 9 4 0 100 5.804 9.706 
40 51 8 9 4 0 100 5.845 10.514 
51 64 8 9 4 0 100 5.776 11.366 
64 80 8 9 4 0 100 5.524 12.204 
80 101 8 9 4 0 100 5.323 12.945 
101 127 8 9 4 0 100 5.084 13.779 
127 159 8 9 4 0 100 4.906 14.652 
159 200 8 9 4 0 100 4.757 15.385 
200 252 8 9 4 0 100 4.723 16.201 
252 317 8 9 4 0 100 4.689 16.988 
317 399 8 9 4 0 100 4.644 17.801 
399 502 8 9 4 0 100 4.749 18.434 
502 632 8 9 4 0 100 5.032 18.823 
632 795 8 9 4 0 100 5.036 19.093 
795 1000 8 9 4 0 100 5.796 18.467 
1000 3500 8 9 4 0 100 5.565 17.881 
20 26 9 10 4 0 100 5.910 8.559 
26 32 9 10 4 0 100 5.974 9.251 
32 40 9 10 4 0 100 6.151 10.048 
